method,seed,epoch_eff,split,acc
comparative_analysis,42,0.1,T1_all,0.38719418014578705
comparative_analysis,42,0.1,T2_shortcut_normal,0.4455749542223925
comparative_analysis,42,0.1,T2_shortcut_masked,0.4190525848607755
comparative_analysis,42,0.1,T2_nonshortcut_normal,0.43237662729296905
comparative_analysis,42,0.2,T1_all,0.4171523179270103
comparative_analysis,42,0.2,T2_shortcut_normal,0.5240563041163184
comparative_analysis,42,0.2,T2_shortcut_masked,0.47698867379066673
comparative_analysis,42,0.2,T2_nonshortcut_normal,0.5007332364092525
comparative_analysis,42,0.3,T1_all,0.39480797784408805
comparative_analysis,42,0.3,T2_shortcut_normal,0.5421644870158802
comparative_analysis,42,0.3,T2_shortcut_masked,0.4792823475197334
comparative_analysis,42,0.3,T2_nonshortcut_normal,0.5111209147505906
comparative_analysis,42,0.4,T1_all,0.37531989773788155
comparative_analysis,42,0.4,T2_shortcut_normal,0.556521208502715
comparative_analysis,42,0.4,T2_shortcut_masked,0.4815575705190763
comparative_analysis,42,0.4,T2_nonshortcut_normal,0.5196318337478887
comparative_analysis,42,0.5,T1_all,0.39343889349345307
comparative_analysis,42,0.5,T2_shortcut_normal,0.6030750611420204
comparative_analysis,42,0.5,T2_shortcut_masked,0.5189655829452502
comparative_analysis,42,0.5,T2_nonshortcut_normal,0.5617964785583033
comparative_analysis,42,0.6,T1_all,0.4068346132499464
comparative_analysis,42,0.6,T2_shortcut_normal,0.6404763496762857
comparative_analysis,42,0.6,T2_shortcut_masked,0.5495206813018266
comparative_analysis,42,0.6,T2_nonshortcut_normal,0.5959357318387116
comparative_analysis,42,0.7,T1_all,0.38123637975383007
comparative_analysis,42,0.7,T2_shortcut_normal,0.635257290571348
comparative_analysis,42,0.7,T2_shortcut_masked,0.539248829931599
comparative_analysis,42,0.7,T2_nonshortcut_normal,0.5883228731288874
comparative_analysis,42,0.7999999999999999,T1_all,0.37125168419759863
comparative_analysis,42,0.7999999999999999,T2_shortcut_normal,0.642682728799202
comparative_analysis,42,0.7999999999999999,T2_shortcut_masked,0.5430128418151582
comparative_analysis,42,0.7999999999999999,T2_nonshortcut_normal,0.5940197445270682
comparative_analysis,42,0.8999999999999999,T1_all,0.34707845540638205
comparative_analysis,42,0.8999999999999999,T2_shortcut_normal,0.633488788939906
comparative_analysis,42,0.8999999999999999,T2_shortcut_masked,0.5312304032772036
comparative_analysis,42,0.8999999999999999,T2_nonshortcut_normal,0.5836037806354782
comparative_analysis,42,0.9999999999999999,T1_all,0.3193657109078439
comparative_analysis,42,0.9999999999999999,T2_shortcut_normal,0.6187651259368601
comparative_analysis,42,0.9999999999999999,T2_shortcut_masked,0.5147396788781579
comparative_analysis,42,0.9999999999999999,T2_nonshortcut_normal,0.5680409888524472
comparative_analysis,42,1.0999999999999999,T1_all,0.35674368984021304
comparative_analysis,42,1.0999999999999999,T2_shortcut_normal,0.6675027423315129
comparative_analysis,42,1.0999999999999999,T2_shortcut_masked,0.5623337081160622
comparative_analysis,42,1.0999999999999999,T2_nonshortcut_normal,0.6162263805124898
comparative_analysis,42,1.2,T1_all,0.3332472623870943
comparative_analysis,42,1.2,T2_shortcut_normal,0.6540318764002706
comparative_analysis,42,1.2,T2_shortcut_masked,0.548187484742777
comparative_analysis,42,1.2,T2_nonshortcut_normal,0.6024159821275786
comparative_analysis,42,1.3,T1_all,0.3659265050075996
comparative_analysis,42,1.3,T2_shortcut_normal,0.6956444315432994
comparative_analysis,42,1.3,T2_shortcut_masked,0.5894716906902968
comparative_analysis,42,1.3,T2_nonshortcut_normal,0.6438445954499763
comparative_analysis,42,1.4,T1_all,0.3304191445578852
comparative_analysis,42,1.4,T2_shortcut_normal,0.6681761257703198
comparative_analysis,42,1.4,T2_shortcut_masked,0.5619278589072888
comparative_analysis,42,1.4,T2_nonshortcut_normal,0.6163042428705021
comparative_analysis,42,1.5,T1_all,0.39872020520208673
comparative_analysis,42,1.5,T2_shortcut_normal,0.7437840846917276
comparative_analysis,42,1.5,T2_shortcut_masked,0.6376403602897139
comparative_analysis,42,1.5,T2_nonshortcut_normal,0.6919188270171494
comparative_analysis,42,1.5999999999999999,T1_all,0.3610999935130614
comparative_analysis,42,1.5999999999999999,T2_shortcut_normal,0.7128713323195515
comparative_analysis,42,1.5999999999999999,T2_shortcut_masked,0.6069564028551789
comparative_analysis,42,1.5999999999999999,T2_nonshortcut_normal,0.6610663028045279
comparative_analysis,42,1.7,T1_all,0.32504356923782324
comparative_analysis,42,1.7,T2_shortcut_normal,0.6830315882497254
comparative_analysis,42,1.7,T2_shortcut_masked,0.5774272360375926
comparative_analysis,42,1.7,T2_nonshortcut_normal,0.6313216454328261
comparative_analysis,42,1.8,T1_all,0.33384102884298444
comparative_analysis,42,1.8,T2_shortcut_normal,0.6976439121087967
comparative_analysis,42,1.8,T2_shortcut_masked,0.5923999262950346
comparative_analysis,42,1.8,T2_nonshortcut_normal,0.6460500550682376
comparative_analysis,42,1.9,T1_all,0.3448573701274953
comparative_analysis,42,1.9,T2_shortcut_normal,0.7141461385706456
comparative_analysis,42,1.9,T2_shortcut_masked,0.6092885059525276
comparative_analysis,42,1.9,T2_nonshortcut_normal,0.6626792613927404
comparative_analysis,42,2.0,T1_all,0.2744094004454991
comparative_analysis,42,2.0,T2_shortcut_normal,0.6489147087788788
comparative_analysis,42,2.0,T2_shortcut_masked,0.5444519867719263
comparative_analysis,42,2.0,T2_nonshortcut_normal,0.5975784698336759
